,,,
Notas Tarea 1,,,
,,,
N° Alumno,P1,P2,Nota
17205689,7.00,1.00,4.0
15206785,6.74,1.00,3.9
18639283,7.00,1.00,4.0
18640176,7.00,2.50,4.8
13634372,7.00,2.50,4.8
18642578,6.74,1.00,3.9
17624223,7.00,2.50,4.8
18636713,7.00,1.00,4.0
1762598J,7.00,2.80,4.9
18637302,6.74,4.00,5.4
19639821,6.22,1.00,3.6
18636497,7.00,2.50,4.8
16622766,7.00,4.00,5.5
16205693,7.00,3.40,5.2
14632039,,,
19636520,1.00,1.00,1.0
17642752,5.96,1.00,3.5
17642728,3.09,1.00,2.0
18638082,7.00,1.60,4.3
17637449,7.00,1.90,4.5
18636578,7.00,5.80,6.4
18639496,7.00,4.00,5.5
16638565,7.00,4.00,5.5
15638812,7.00,1.00,4.0
1863737J,6.74,2.50,4.6
16636678,,,
17642531,7.00,3.70,5.4
17625378,7.00,2.50,4.8
17642140,7.00,1.00,4.0
18638279,7.00,4.60,5.8
18637655,1.00,1.00,1.0
14635178,1.00,1.00,1.0
20641923,7.00,3.70,5.4
1663960J,1.00,1.00,1.0
19640609,7.00,1.00,4.0
16202767,7.00,2.50,4.8
16623460,1.00,1.00,1.0
17636930,7.00,3.40,5.2
18641938,7.00,2.50,4.8
14619164,1.00,1.00,1.0
16207084,7.00,1.00,4.0
18640877,7.00,1.60,4.3
17636671,7.00,1.00,4.0
17637554,7.00,1.00,4.0
18643019,6.22,2.50,4.4
17637155,7.00,1.00,4.0
14631652,7.00,1.00,4.0
1461961J,2.04,1.00,1.5
16637232,6.22,2.50,4.4
1663991J,7.00,4.00,5.5
18637663,7.00,2.50,4.8
18637086,7.00,4.00,5.5
16207238,7.00,1.00,4.0
18636926,1.00,1.00,1.0
18637140,6.74,1.00,3.9
15636453,1.00,1.00,1.0
16635655,1.00,1.00,1.0
1663697J,7.00,3.40,5.2
17638658,7.00,1.00,4.0
16202759,7.00,3.40,5.2
16636287,6.22,1.00,3.6
18638759,7.00,1.60,4.3
18638171,7.00,1.00,4.0
18637043,7.00,4.00,5.5
1921264J,7.00,3.40,5.2
16207211,7.00,3.40,5.2
17636868,1.00,1.00,1.0
17639298,7.00,4.00,5.5
18639925,7.00,4.00,5.5
16636848,1.00,1.00,1.0
18208967,1.00,1.00,1.0
16637623,7.00,3.40,5.2
1764030J,6.22,1.00,3.6
18207979,3.35,1.00,2.2
17637171,7.00,6.70,6.9
19632401,7.00,1.00,4.0
17636744,7.00,1.00,4.0
15636461,7.00,1.00,4.0
19636555,7.00,4.30,5.7
18637264,7.00,2.50,4.8
18638104,6.74,4.30,5.5
15635635,2.83,1.00,1.9
Promedio,5.81,2.16,4.0
Minimo,1.00,1.00,1.0
Máximo,7.00,6.70,6.9